t,d,Az_tx,El_tx,Az_rx,El_rx,Lfs,Gt,Gr,Gtotal_actual,Pr,Margin,Margin_omni_ref,G_total_required
0,2564.87523225888,-65,12.9140854622526,148.306655613385,-17.4586378488742,114.521212076768,-1.65453647978,0.929198411961957,-0.725338067818042,-95.2465501445857,-5.24655014458565,-4.52121207676761,7.52121207676761
1,2608.1560175219,-64.4166666666667,12.8017641285294,148.378429111514,-17.3999193875173,114.666558539315,-1.64213784113318,0.929733731498437,-0.712404109634746,-95.3789626489501,-5.37896264895005,-4.6665585393153,7.6665585393153
2,2651.46016518453,-63.8333333333333,12.6956561021394,147.919869494547,-17.3667410565198,114.809589336186,-1.6262875448303,0.926471604187495,-0.699815940642804,-95.5094052768289,-5.50940527682889,-4.80958933618608,7.80958933618608
3,2694.77360857953,-63.25,12.5954540270049,147.457945810999,-17.3349760852071,114.950332908824,-1.60706707505077,0.923278088646359,-0.683788986404415,-95.6341218952283,-5.63412189522833,-4.95033290882391,7.95033290882391
4,2738.08236858074,-62.6666666666667,12.5008661633129,146.992620202066,-17.3043492788648,115.088817374411,-1.58455853652321,0.920155047181908,-0.664403489341307,-95.753220863752,-5.75322086375201,-5.0888173744107,8.0888173744107
5,2781.37255647821,-62.0833333333333,12.4116154726769,146.523859151259,-17.2745997173956,115.225070504526,-1.55888614273487,0.917109191405283,-0.641776951329588,-95.8668474558553,-5.86684745585535,-5.22507050452576,8.22507050452576
6,2824.630377257,-61.5,12.3274387608573,146.051633542729,-17.2454800821898,115.3591197083,-1.53012554984871,0.914139434086882,-0.615986115761824,-95.975105824062,-5.97510582406197,-5.35911970830014,8.35911970830014
7,2867.84213324342,-60.9166666666667,12.2480858743043,145.57591872533,-17.2167560413421,115.490992019492,-1.49812025402966,0.911247133268076,-0.586873120761582,-96.0778651402535,-6.07786514025346,-5.49099201949188,8.49099201949188
8,2910.99422808461,-60.3333333333333,12.1733189470122,145.09669458189,-17.1882056896391,115.620714086978,-1.46325505376259,0.908435244577511,-0.554819809185076,-96.175533896163,-6.17553389616299,-5.62071408697791,8.62071408697791
9,2954.07317102992,-59.75,12.1029116943887,144.613945603165,-17.1596190399132,115.748312168218,-1.42565237280949,0.905706912628733,-0.519945460180754,-96.2682576283988,-6.26825762839879,-5.74831216821804,8.74831216821804
10,2997.06558148425,-59.1666666666667,12.0366487510525,144.127660965912,-17.1307975625223,115.873812125301,-1.38542969815324,0.903065430440575,-0.482364267712667,-96.3561763930135,-6.35617639301351,-5.87381212530084,8.87381212530084
11,3039.95819380572,-58.5833333333333,11.9743250496664,143.637834614553,-17.1015537698567,115.997239423228,-1.34271808402412,0.900514198697002,-0.442203885327122,-96.4394433085548,-6.43944330855479,-5.99723942322767,8.99723942322767
12,3082.73786232165,-58,11.9157452381062,143.144465345853,-17.0717108429064,116.118619130132,-1.29764367637945,0.898056684926933,-0.399586991452513,-96.518206121585,-6.518206121585,-6.11861913013249,9.11861913013249
13,3125.39156653837,-57.4166666666667,11.8607231324382,142.647556896035,-17.0411022970402,116.237975919173,-1.25013596783828,0.89569638271163,-0.354439585126647,-96.5924155042992,-6.59241550429918,-6.23797591917254,9.23797591917254
14,3167.90641652206,-56.8333333333333,11.8090812033522,142.147118029764,-17.0095716842499,116.355334071856,-1.20054234879528,0.893436771053177,-0.307105577742103,-96.6624396495981,-6.66243964959814,-6.35533407185603,9.35533407185603
15,3210.26965842899,-56.25,11.7606500938481,141.643162630402,-16.9769723292015,116.470717482602,-1.14898915434739,0.891303032332944,-0.25768612201445,-96.7284036046167,-6.72840360461667,-6.47071748260223,9.47071748260223
16,3252.46868016499,-55.6666666666667,11.7152681661296,141.135709790947,-16.9431670965126,116.584149664354,-1.09560855449296,0.889286911561221,-0.206321642931739,-96.7904713072857,-6.79047130728573,-6.58414966435399,9.58414966435399
17,3294.49101715494,-55.0833333333333,11.6727810757921,140.624783905044,-16.9080281867357,116.695653755085,-1.04053222145885,0.887382679266696,-0.153149542192156,-96.8488032972773,-6.84880329727726,-6.6956537550851,9.6956537550851
18,3336.32435820438,-54.5,11.6330413715258,140.110414757472,-16.8714369585834,116.805252525064,-0.983889515701029,0.885593471796562,-0.0982960439044671,-96.9035485689683,-6.90354856896832,-6.80525252506385,9.80525252506385
19,3377.95655143614,-53.9166666666667,11.5959081186752,139.592637613496,-16.8332837749652,116.912968384752,-0.925697467468158,0.883922208783832,-0.0417752586843264,-96.9547436434363,-6.95474364343629,-6.91296838475196,9.91296838475196
20,3419.37561028593,-53.3333333333333,11.56124654511,139.071493306474,-16.7934678704438,117.018823393233,-0.866217053534108,0.882371557626097,0.0161545040919894,-97.0026688891406,-7.00266888914064,-7.01882339323262,10.0188233932326
21,3460.56971954171,-52.75,11.5289277079689,138.547028323115,-16.7518972377366,117.122839267075,-0.805573921694751,0.880943899585035,0.0753699778902841,-97.0474692891847,-7.0474692891847,-7.12283926707498,10.122839267075
22,3501.52724141232,-52.1666666666667,11.4988281799367,138.019294885772,-16.7084885309038,117.225037389554,-0.74389089297279,0.879641297766393,0.135750404793603,-97.0892869847607,-7.08928698476066,-7.22503738955427,10.2250373895543
23,3542.23672161181,-51.5833333333333,11.4708297538058,137.488351031181,-16.6631669828741,117.325438820157,-0.681298579206252,0.878467927963948,0.197169348757696,-97.1282694713992,-7.12826947139921,-7.3254388201569,10.3254388201569
24,3582.68689544637,-51,11.4448191641619,136.954260685044,-16.6158663349643,117.424064304309,-0.617902722168608,0.877427361282576,0.259524639113968,-97.164539665195,-7.16453966519497,-7.42406430430893,10.4240643043089
25,3622.86669389159,-50.4166666666667,11.4206878251106,136.417093731877,-16.5665287760475,117.520934283275,-0.553775079091487,0.876516396028668,0.322741316937181,-97.1981929663375,-7.19819296633754,-7.52093428327473,10.5209342832747
26,3662.76524964829,-49.8333333333333,11.3983315830357,135.876926079534,-16.5151048890276,117.616068904179,-0.489084615714599,0.875735494849757,0.386650879135157,-97.2294180250443,-7.22941802504428,-7.61606890417944,10.6160689041794
27,3702.37190316576,-49.25,11.3776504834534,135.333839717865,-16.461553602275,117.709488030115,-0.423936867331161,0.875116070327443,0.451179202996283,-97.2583088271188,-7.25830882711878,-7.70948803011507,10.7094880301151
28,3741.67620862171,-48.6666666666667,11.3585485510845,134.78792277095,-16.4058421436823,117.801211250296,-0.358432054625682,0.874640377343025,0.516208322717343,-97.2850029275784,-7.28500292757839,-7.80121125029574,10.8012112502957
29,3780.66793984889,-48.0833333333333,11.340933582331,134.239269542376,-16.3479459950028,117.891257890232,-0.292668256047159,0.874295199441338,0.581626943394179,-97.3096309468379,-7.30963094683791,-7.8912578902321,10.8912578902321
30,3819.3370961986,-47.5,11.3247169493977,133.68798055306,-16.2878488441475,117.9796470219,-0.226739390980731,0.874079172078488,0.647339781097756,-97.3323072408019,-7.33230724080194,-7.97964702189969,10.9796470218997
31,3857.67390833197,-46.9166666666667,11.3098134153506,133.134162571108,-16.2255425331295,118.066397473879,-0.160755241484603,0.873990441820253,0.713235200335651,-97.3531622735435,-7.35316227354355,-8.06639747387919,11.0663974738792
32,3895.66884393001,-46.3333333333333,11.2961409594519,132.577928633263,-16.1610269993809,118.15152784145,-0.0947959991049531,0.874026666435744,0.77923066733079,-97.3722971741192,-7.37229717411918,-8.15152784144998,11.15152784145
33,3933.3126133143,-45.75,11.2836206121571,132.019398057478,-16.0943102081939,118.235056496621,-0.0289406568622685,0.874185019036215,0.845244362173947,-97.3898121344475,-7.38981213444752,-8.23505649662147,11.2350564966215
